"","speaker","date","care.virtue","care.vice","fairness.virtue","fairness.vice","loyalty.virtue","loyalty.vice","authority.virtue","authority.vice","sanctity.virtue","sanctity.vice"
"62","MS. GEYER","October 21, 1984",0.128700128700129,0.643500643500644,0.257400257400257,0,1.02960102960103,0,1.41570141570142,0.386100386100386,0,0
"63","MR. MONDALE","October 21, 1984",0.231853040841805,0.445871232388086,0.285357588728375,0.0713393971820938,1.17710005350455,0.0356696985910469,2.19368646334938,0.0178348492955235,0.0891742464776173,0.0178348492955235
"64","THE PRESIDENT","October 21, 1984",0.161406025824964,0.358680057388809,0.197274031563845,0.0538020086083214,0.735294117647059,0.0179340028694405,1.00430416068867,0.107604017216643,0.0717360114777618,0
"65","MR. KALB","October 21, 1984",0.544464609800363,0.362976406533575,0.362976406533575,0.181488203266788,1.81488203266788,0,2.17785843920145,0,0.181488203266788,0
"66","AUDIENCE MEMBER","October 21, 1984",0,0,0,0,0,0,0,0,0,0
"67","MR. KONDRACKE","October 21, 1984",0.359712230215827,0.179856115107914,0.179856115107914,0,0.899280575539568,0,3.59712230215827,0.179856115107914,0,0
"68","MS. RIDINGS","October 7, 1984",0,0,0,0,0,0,3.6697247706422,0,0,0
"69","MS. WALTERS","October 7, 1984",0,0,0,0.0800640512409928,0.0800640512409928,0,1.68134507606085,0,0,0.0800640512409928
"70","MR. WIEGHART","October 7, 1984",0.390625,0.09765625,0,0.09765625,0.78125,0,1.46484375,0,0,0
"71","THE PRESIDENT","October 7, 1984",0.464252553389044,0.24760136180749,0.185701021355617,0,0.278551532033426,0,0.943980191891055,0.0154750851129681,0.526152893840916,0.0928505106778087
"72","MR. MONDALE","October 7, 1984",0.611450806003335,0.296460996850102,0.481749119881416,0.0741152492125255,0.667037242912729,0,1.33407448582546,0.0185288123031314,0.759681304428386,0.0741152492125255
"73","MS. SAWYER","October 7, 1984",0.482509047044632,0.241254523522316,0.241254523522316,0,0.120627261761158,0,3.13630880579011,0.241254523522316,0,0.241254523522316
"74","MR. BARNES","October 7, 1984",0,0.229357798165138,0.229357798165138,0,0.917431192660551,0,2.06422018348624,0,1.14678899082569,0
"75","SHAW","October 13, 1988",0.138121546961326,0.552486187845304,0,0,0.276243093922652,0,7.87292817679558,0,0,0
"76","DUKAKIS","October 13, 1988",0.518433179723502,0.129608294930876,0.158410138248848,0.0432027649769585,1.10887096774194,0,1.18087557603687,0,0.172811059907834,0.172811059907834
"77","BUSH","October 13, 1988",0.672947510094213,0.100942126514132,0.25235531628533,0.100942126514132,0.740242261103634,0.0336473755047106,1.02624495289367,0.0168236877523553,0.25235531628533,0.117765814266487
"78","COMPTON","October 13, 1988",0.327332242225859,0,0.16366612111293,0.16366612111293,0.327332242225859,0,2.12765957446809,0,0,0
"79","WARNER","October 13, 1988",0.32,0.48,0,0,0.8,0,2.88,0,0.16,0.64
"80","MITCHELL","October 13, 1988",0.29806259314456,0,0,0,0,0,1.34128166915052,0,0,0
"81","LEHRER","September 25, 1988",0,0,0,0,0.393700787401575,0,8.00524934383202,0,0,0.5249343832021
"82","BUSH","September 25, 1988",0.378040762656147,0.180802103879027,0.19723865877712,0.0657462195923734,0.624589086127548,0,0.904010519395135,0.0164365548980934,0.279421433267587,0.131492439184747
"83","DUKAKIS","September 25, 1988",0.882105852702324,0.210025203024363,0.0420050406048726,0.0280033604032484,1.62419490338841,0.0140016802016242,1.26015121814618,0.0140016802016242,0.0840100812097452,0.406048725847102
"84","MASHEK","September 25, 1988",0.209643605870021,0.419287211740042,0,0,0.838574423480084,0.209643605870021,2.93501048218029,0.209643605870021,0,0
"85","GROER","September 25, 1988",1.31086142322097,0.936329588014981,0.187265917602996,0.187265917602996,1.12359550561798,0.187265917602996,2.05992509363296,0.187265917602996,0,0.936329588014981
"86","JENNINGS","September 25, 1988",0.303490136570561,0,0.455235204855842,0,0.758725341426404,0,3.79362670713202,0,0.151745068285281,0
"87","LEHRER","October 11, 1992",0.0999000999000999,0,0,0,0.2997002997003,0,5.0949050949051,0,0,0
"88","PEROT","October 11, 1992",0.858000858000858,0.193050193050193,0.0858000858000858,0.0429000429000429,1.30845130845131,0,0.471900471900472,0,0.0858000858000858,0.107250107250107
"89","CLINTON","October 11, 1992",1.00108813928183,0.195865070729053,0.15233949945593,0.0217627856365615,1.58868335146899,0,0.957562568008705,0,0.0652883569096844,0.195865070729053
"90","PRESIDENT BUSH","October 11, 1992",0,0,0,0,0.804289544235925,0,0.536193029490617,0,0,0
